# energy s p
-7.615000000000008207e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.605000000000008420e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.595000000000008633e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.585000000000008846e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.575000000000009059e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.565000000000009273e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.555000000000009486e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.545000000000009699e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.535000000000009912e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.525000000000010125e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.515000000000010338e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.505000000000010552e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.495000000000010765e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.485000000000010978e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.475000000000011191e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.465000000000011404e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.455000000000011617e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.445000000000011831e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.435000000000012044e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.425000000000012257e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.415000000000012470e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.405000000000012683e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.395000000000012896e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.385000000000013110e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.375000000000013323e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.365000000000013536e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.355000000000013749e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.345000000000013962e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.335000000000014175e+00 2.553858402595922812e-11 1.444929821611889552e-09
-7.325000000000014388e+00 3.790907038663864969e-11 2.144830984190830490e-09
-7.315000000000014602e+00 1.736458363847278450e-10 1.167073978426010342e-08
-7.305000000000014815e+00 3.415748909909643982e-10 2.573643898587851547e-08
-7.295000000000015028e+00 7.387392304490273000e-10 4.937746825617710414e-08
-7.285000000000015241e+00 1.080341099760327884e-09 7.217792628393282478e-08
-7.275000000000015454e+00 1.706913194305505069e-09 1.131364466327822015e-07
-7.265000000000015667e+00 2.593421188147764404e-09 1.712091552208773285e-07
-7.255000000000015881e+00 4.280863615055132948e-09 2.700811684786246974e-07
-7.245000000000016094e+00 6.439648127728669501e-09 4.005052228800152025e-07
-7.235000000000016307e+00 9.401847989221656229e-09 5.817591250357539407e-07
-7.225000000000016520e+00 1.331851083318080965e-08 8.224114590659407892e-07
-7.215000000000016733e+00 1.878312878328394197e-08 1.157868130503033568e-06
-7.205000000000016946e+00 2.592324253549721138e-08 1.592953589584144972e-06
-7.195000000000017160e+00 3.557026550726943906e-08 2.180262770954264307e-06
-7.185000000000017373e+00 4.924256867320098873e-08 2.989545216062382325e-06
-7.175000000000017586e+00 6.657108060784767115e-08 4.029981879796652670e-06
-7.165000000000017799e+00 8.930098537632992108e-08 5.377682379952995833e-06
-7.155000000000018012e+00 1.187792931319629936e-07 7.119164880693071194e-06
-7.145000000000018225e+00 1.562609684431340629e-07 9.347708828270647919e-06
-7.135000000000018439e+00 2.036665399139839553e-07 1.213842903205321058e-05
-7.125000000000018652e+00 2.630524019773440865e-07 1.561908762987425066e-05
-7.115000000000018865e+00 3.373462877476007199e-07 1.995478338648719601e-05
-7.105000000000019078e+00 4.290083371748660385e-07 2.529633457969836821e-05
-7.095000000000019291e+00 5.407278388473462876e-07 3.181836775714159932e-05
-7.085000000000019504e+00 6.758995913920026750e-07 3.964420995864906754e-05
-7.075000000000019718e+00 8.382253509486833884e-07 4.901629780460419150e-05
-7.065000000000019931e+00 1.030751465372714358e-06 6.011610295469184189e-05
-7.055000000000020144e+00 1.257559545180795301e-06 7.318899021858264514e-05
-7.045000000000020357e+00 1.522748722987639116e-06 8.842310328981179302e-05
-7.035000000000020570e+00 1.828885383827968983e-06 1.060163842228647291e-04
-7.025000000000020783e+00 2.180575665868176643e-06 1.262158822601386408e-04
-7.015000000000020997e+00 2.580168296410942761e-06 1.491570458515780091e-04
-7.005000000000021210e+00 3.030336068921344411e-06 1.750186587400449987e-04
-6.995000000000021423e+00 3.532163472234557704e-06 2.039519438712512173e-04
-6.985000000000021636e+00 4.088763679593135448e-06 2.361243775738956698e-04
-6.975000000000021849e+00 4.699676855234790419e-06 2.715921845368835744e-04
-6.965000000000022062e+00 5.364437059480567224e-06 3.104147960715025138e-04
-6.955000000000022276e+00 6.081244945343039228e-06 3.526338435056963175e-04
-6.945000000000022489e+00 6.848593502342878403e-06 3.982506255972355857e-04
-6.935000000000022702e+00 7.665791827566592666e-06 4.473657803631304213e-04
-6.925000000000022915e+00 8.528209201728882609e-06 4.998262018741542016e-04
-6.915000000000023128e+00 9.431869001833072952e-06 5.556524587276856237e-04
-6.905000000000023341e+00 1.037562339625209477e-05 6.148502503657353154e-04
-6.895000000000023554e+00 1.135392635700511994e-05 6.773546958845731844e-04
-6.885000000000023768e+00 1.236432015286644756e-05 7.431514030814430610e-04
-6.875000000000023981e+00 1.340507296085399550e-05 8.122549781680023185e-04
-6.865000000000024194e+00 1.447521909319925734e-05 8.847829201408729735e-04
-6.855000000000024407e+00 1.557674579040320013e-05 9.608272566328360026e-04
-6.845000000000024620e+00 1.671187984381329464e-05 1.040531594082889141e-03
